S. No.,image_path,train/test,X_min,Y_min,X_max,Y_max
158,WSD01/WSD01_0180.jpg,train,85,96,307,315
159,WSD01/WSD01_0181.jpg,train,105,69,316,343
160,WSD01/WSD01_0182.jpg,train,67,23,394,455
161,WSD01/WSD01_0183.jpg,train,120,166,305,376
162,WSD01/WSD01_0184.jpg,train,105,112,302,372
163,WSD01/WSD01_0185.jpg,train,87,128,279,372
164,WSD01/WSD01_0186.jpg,train,74,78,317,351
165,WSD01/WSD01_0187.jpg,train,58,-12,320,362
166,WSD01/WSD01_0188.jpg,train,91,87,313,306
167,WSD01/WSD01_0190.jpg,train,132,128,293,333
168,WSD01/WSD01_0191.jpg,train,71,88,271,338
169,WSD01/WSD01_0192.jpg,train,153,130,305,315
170,WSD01/WSD01_0193.jpg,train,77,90,306,386
171,WSD01/WSD01_0194.jpg,train,123,154,275,332
172,WSD01/WSD01_0195.jpg,train,104,143,265,341
173,WSD01/WSD01_0196.jpg,train,42,70,307,358
174,WSD01/WSD01_0197.jpg,train,111,149,309,356
175,WSD01/WSD01_0198.jpg,train,96,116,330,405
176,WSD01/WSD01_0199.jpg,train,68,57,285,337
177,WSD01/WSD01_0200.jpg,train,148,137,305,335
178,WSD01/WSD01_0201.jpg,train,109,103,295,338
179,WSD01/WSD01_0202.jpg,train,90,108,260,323
180,WSD01/WSD01_0203.jpg,train,106,110,279,322
181,WSD01/WSD01_0204.jpg,train,61,78,310,322
182,WSD01/WSD01_0205.jpg,train,59,101,313,393
183,WSD01/WSD01_0206.jpg,train,113,126,262,317
184,WSD01/WSD01_0207.jpg,train,192,202,312,316
185,WSD01/WSD01_0208.jpg,train,66,63,339,382
186,WSD01/WSD01_0210.jpg,train,126,180,273,358
187,WSD01/WSD01_0211.jpg,train,141,209,399,424
188,WSD01/WSD01_0212.jpg,train,169,137,279,255
189,WSD01/WSD01_0213.jpg,train,67,93,276,355
190,WSD01/WSD01_0214.jpg,train,103,128,285,353
191,WSD01/WSD01_0215.jpg,train,161,174,294,330
192,WSD01/WSD01_0216.jpg,train,87,124,341,388
193,WSD01/WSD01_0218.jpg,train,134,175,277,347
194,WSD01/WSD01_0219.jpg,train,99,124,265,327
195,WSD01/WSD01_0220.jpg,train,126,135,282,329
196,WSD01/WSD01_0221.jpg,train,86,76,293,332
197,WSD01/WSD01_0222.jpg,train,41,97,333,415
198,WSD01/WSD01_0223.jpg,train,80,83,292,302
199,WSD01/WSD01_0224.jpg,train,66,96,315,432
200,WSD01/WSD01_0225.jpg,train,81,142,310,433
201,WSD01/WSD01_0226.jpg,train,140,141,305,336
202,WSD01/WSD01_0227.jpg,train,41,94,327,395
203,WSD01/WSD01_0229.jpg,train,107,151,253,335
204,WSD01/WSD01_0230.jpg,train,47,65,271,343
205,WSD01/WSD01_0231.jpg,train,109,98,335,397
206,WSD01/WSD01_0232.jpg,train,68,97,306,346
207,WSD01/WSD01_0233.jpg,train,114,87,290,322
208,WSD01/WSD01_0234.jpg,train,102,140,253,328
209,WSD01/WSD01_0235.jpg,train,122,137,283,331
210,WSD01/WSD01_0236.jpg,train,127,137,281,331
211,WSD01/WSD01_0237.jpg,train,88,88,313,353
212,WSD01/WSD01_0238.jpg,train,106,89,281,313
213,WSD01/WSD01_0239.jpg,train,76,67,267,331
214,WSD01/WSD01_0240.jpg,train,62,106,348,414
215,WSD01/WSD01_0241.jpg,train,73,60,312,390
216,WSD01/WSD01_0242.jpg,train,62,133,281,350
217,WSD01/WSD01_0243.jpg,train,62,93,290,360
218,WSD01/WSD01_0244.jpg,train,85,180,259,399
219,WSD01/WSD01_0246.jpg,train,34,103,308,406
220,WSD01/WSD01_0247.jpg,train,122,92,307,287
221,WSD01/WSD01_0248.jpg,train,36,96,305,403
222,WSD01/WSD01_0249.jpg,train,81,111,318,417
223,WSD01/WSD01_0250.jpg,train,80,118,287,364
224,WSD01/WSD01_0251.jpg,train,55,62,356,454
225,WSD01/WSD01_0254.jpg,train,121,100,290,311
226,WSD01/WSD01_0255.jpg,train,93,143,324,423
227,WSD01/WSD01_0256.jpg,train,100,149,285,386
228,WSD01/WSD01_0257.jpg,train,89,84,352,365
229,WSD01/WSD01_0259.jpg,train,45,118,306,383
230,WSD01/WSD01_0260.jpg,train,62,68,336,367
231,WSD01/WSD01_0261.jpg,train,108,100,280,304
232,WSD01/WSD01_0262.jpg,train,49,104,308,384
233,WSD01/WSD01_0263.jpg,train,96,83,306,358
234,WSD01/WSD01_0264.jpg,train,93,113,260,325
235,WSD01/WSD01_0265.jpg,train,92,65,325,344
236,WSD01/WSD01_0268.jpg,train,44,107,306,392
237,WSD01/WSD01_0269.jpg,train,68,65,290,362
238,WSD01/WSD01_0271.jpg,train,59,132,323,418
239,WSD01/WSD01_0272.jpg,train,74,56,341,382
240,WSD01/WSD01_0273.jpg,train,10,96,313,422
241,WSD01/WSD01_0274.jpg,train,113,116,277,326
242,WSD01/WSD01_0275.jpg,train,42,118,322,392
243,WSD01/WSD01_0276.jpg,train,81,44,361,328
244,WSD01/WSD01_0277.jpg,train,147,126,311,331
245,WSD01/WSD01_0278.jpg,train,116,108,342,410
246,WSD01/WSD01_0279.jpg,train,25,108,335,427
247,WSD01/WSD01_0280.jpg,train,89,86,338,408
248,WSD01/WSD01_0281.jpg,train,86,89,294,349
249,WSD01/WSD01_0282.jpg,train,67,71,304,316
250,WSD01/WSD01_0283.jpg,train,97,136,326,420
251,WSD01/WSD01_0284.jpg,train,114,89,311,294
252,WSD01/WSD01_0285.jpg,train,35,127,305,406
253,WSD01/WSD01_0286.jpg,train,87,91,320,310
254,WSD01/WSD01_0287.jpg,train,102,90,301,354
255,WSD01/WSD01_0288.jpg,train,102,85,308,341
256,WSD01/WSD01_0289.jpg,train,124,87,298,302
257,WSD01/WSD01_0290.jpg,train,81,142,310,433
258,WSD01/WSD01_0291.jpg,train,93,123,286,351
259,WSD01/WSD01_0292.jpg,train,61,99,298,345
260,WSD01/WSD01_0293.jpg,train,73,115,267,362
261,WSD01/WSD01_0294.jpg,train,35,105,336,408
262,WSD01/WSD01_0295.jpg,train,54,70,334,397
263,WSD01/WSD01_0296.jpg,train,60,91,319,399
264,WSD01/WSD01_0297.jpg,train,78,101,300,318
265,WSD01/WSD01_0298.jpg,train,119,101,298,326
266,WSD01/WSD01_0299.jpg,train,130,121,301,329
267,WSD01/WSD01_0300.jpg,train,52,93,328,392
268,WSD01/WSD01_0301.jpg,train,56,38,288,318
269,WSD01/WSD01_0302.jpg,train,104,113,324,329
270,WSD01/WSD01_0303.jpg,train,23,70,337,400
271,WSD01/WSD01_0304.jpg,train,66,132,285,398
272,WSD01/WSD01_0306.jpg,train,85,100,312,330
273,WSD01/WSD01_0307.jpg,train,147,86,313,284
274,WSD01/WSD01_0308.jpg,train,60,86,324,366
275,WSD01/WSD01_0309.jpg,train,114,92,287,323
276,WSD01/WSD01_0310.jpg,train,17,70,342,400
277,WSD01/WSD01_0311.jpg,train,111,126,273,327
278,WSD01/WSD01_0312.jpg,train,105,123,308,371
279,WSD01/WSD01_0313.jpg,train,70,91,267,348
280,WSD01/WSD01_0314.jpg,train,33,143,225,359
281,WSD01/WSD01_0315.jpg,train,68,80,302,364
282,WSD01/WSD01_0316.jpg,train,100,102,292,341
283,WSD01/WSD01_0317.jpg,train,91,98,270,332
284,WSD01/WSD01_0318.jpg,train,67,102,280,369
285,WSD01/WSD01_0319.jpg,train,108,119,308,359
286,WSD01/WSD01_0320.jpg,train,109,86,280,314
287,WSD01/WSD01_0321.jpg,train,130,143,302,365
288,WSD01/WSD01_0322.jpg,train,77,83,261,313
289,WSD01/WSD01_0323.jpg,train,100,151,265,361
290,WSD01/WSD01_0324.jpg,train,72,112,285,380
291,WSD01/WSD01_0325.jpg,train,50,108,289,350
292,WSD01/WSD01_0326.jpg,train,75,81,350,394
293,WSD01/WSD01_0327.jpg,train,55,42,284,340
294,WSD01/WSD01_0328.jpg,train,87,84,307,381
295,WSD01/WSD01_0329.jpg,train,95,71,305,347
296,WSD01/WSD01_0330.jpg,train,95,74,303,281
297,WSD01/WSD01_0331.jpg,train,85,89,327,389
298,WSD01/WSD01_0332.jpg,train,105,164,255,348
299,WSD01/WSD01_0333.jpg,train,87,141,303,405
300,WSD01/WSD01_0334.jpg,train,86,93,300,372
301,WSD01/WSD01_0335.jpg,train,104,182,256,376
302,WSD01/WSD01_0336.jpg,train,42,99,207,314
303,WSD01/WSD01_0337.jpg,train,46,59,356,402
304,WSD01/WSD01_0338.jpg,train,106,188,263,390
305,WSD01/WSD01_0339.jpg,train,111,62,309,325
306,WSD01/WSD01_0340.jpg,train,74,105,284,334
307,WSD01/WSD01_0341.jpg,train,107,105,316,357
308,WSD01/WSD01_0342.jpg,train,95,117,306,387
309,WSD01/WSD01_0343.jpg,train,75,58,359,366
310,WSD01/WSD01_0344.jpg,train,89,94,303,376
311,WSD01/WSD01_0346.jpg,train,69,61,308,381
312,WSD01/WSD01_0348.jpg,train,31,53,327,408
313,WSD01/WSD01_0349.jpg,train,80,90,286,340
314,WSD01/WSD01_0350.jpg,train,87,102,295,313
315,WSD01/WSD01_0351.jpg,train,8,102,245,384
316,WSD01/WSD01_0352.jpg,train,54,80,324,394
317,WSD01/WSD01_0353.jpg,train,60,87,273,359
318,WSD01/WSD01_0354.jpg,train,47,87,264,382
319,WSD01/WSD01_0355.jpg,train,53,53,278,338
320,WSD01/WSD01_0356.jpg,train,40,113,282,368
321,WSD01/WSD01_0357.jpg,train,42,49,312,410
322,WSD01/WSD01_0358.jpg,train,116,121,297,344
323,WSD01/WSD01_0359.jpg,train,129,74,307,296
324,WSD01/WSD01_0360.jpg,train,105,109,298,350
325,WSD01/WSD01_0361.jpg,train,23,63,326,406
326,WSD01/WSD01_0362.jpg,train,70,82,262,310
327,WSD01/WSD01_0363.jpg,train,23,90,338,408
328,WSD01/WSD01_0364.jpg,train,121,155,299,378
329,WSD01/WSD01_0365.jpg,train,54,96,290,333
330,WSD01/WSD01_0366.jpg,train,120,31,330,286
331,WSD01/WSD01_0367.jpg,train,69,98,272,353
332,WSD01/WSD01_0368.jpg,train,32,58,323,358
333,WSD01/WSD01_0369.jpg,train,92,134,305,347
334,WSD01/WSD01_0370.jpg,train,65,98,279,359
335,WSD01/WSD01_0371.jpg,train,96,111,287,371
336,WSD01/WSD01_0372.jpg,train,94,101,323,367
337,WSD01/WSD01_0374.jpg,train,35,32,318,359
338,WSD01/WSD01_0375.jpg,train,64,101,306,406
339,WSD01/WSD01_0377.jpg,train,70,93,290,355
340,WSD01/WSD01_0378.jpg,train,82,88,312,383
341,WSD01/WSD01_0379.jpg,train,76,49,370,397
342,WSD01/WSD01_0380.jpg,train,104,168,237,334
343,WSD01/WSD01_0381.jpg,train,141,201,271,358
344,WSD01/WSD01_0382.jpg,train,30,46,355,389
345,WSD01/WSD01_0383.jpg,train,48,108,312,381
346,WSD01/WSD01_0384.jpg,train,122,46,330,319
347,WSD01/WSD01_0385.jpg,train,54,114,263,343
348,WSD01/WSD01_0386.jpg,train,39,110,305,379
349,WSD01/WSD01_0387.jpg,train,12,72,232,310
350,WSD01/WSD01_0388.jpg,train,45,83,339,416
351,WSD01/WSD01_0389.jpg,train,58,84,329,352
352,WSD01/WSD01_0391.jpg,train,40,39,338,400
353,WSD01/WSD01_0392.jpg,train,107,130,296,360
354,WSD01/WSD01_0393.jpg,train,44,99,283,349
355,WSD01/WSD01_0394.jpg,train,46,100,302,424
356,WSD01/WSD01_0395.jpg,train,102,123,275,327
357,WSD01/WSD01_0396.jpg,train,86,132,265,342
358,WSD01/WSD01_0397.jpg,train,38,103,310,391
359,WSD01/WSD01_0398.jpg,train,123,78,301,313
360,WSD01/WSD01_0399.jpg,train,71,84,329,354
361,WSD01/WSD01_0400.jpg,train,73,119,288,338
362,WSD01/WSD01_0401.jpg,train,96,85,365,354
363,WSD01/WSD01_0402.jpg,train,52,95,340,398
364,WSD01/WSD01_0404.jpg,train,59,63,317,324
365,WSD01/WSD01_0405.jpg,train,71,138,268,382
366,WSD01/WSD01_0406.jpg,train,137,165,288,346
367,WSD01/WSD01_0407.jpg,train,105,80,288,325
368,WSD01/WSD01_0408.jpg,train,92,88,286,312
369,WSD01/WSD01_0410.jpg,train,75,87,295,371
370,WSD01/WSD01_0412.jpg,train,85,126,291,341
371,WSD01/WSD01_0413.jpg,train,98,125,267,335
372,WSD01/WSD01_0414.jpg,train,42,72,318,381
373,WSD01/WSD01_0415.jpg,train,77,92,289,309
374,WSD01/WSD01_0416.jpg,train,58,96,306,351
375,WSD01/WSD01_0417.jpg,train,64,80,311,341
376,WSD01/WSD01_0418.jpg,train,64,109,263,371
377,WSD01/WSD01_0419.jpg,train,77,67,328,384
378,WSD01/WSD01_0420.jpg,train,97,112,297,364
379,WSD01/WSD01_0421.jpg,train,103,127,299,375
380,WSD01/WSD01_0422.jpg,train,83,74,294,334
381,WSD01/WSD01_0423.jpg,train,86,92,320,381
382,WSD01/WSD01_0424.jpg,train,108,187,268,390
383,WSD01/WSD01_0425.jpg,train,95,111,278,341
384,WSD01/WSD01_0426.jpg,train,105,86,277,309
385,WSD01/WSD01_0427.jpg,train,94,109,291,355
386,WSD01/WSD01_0428.jpg,train,95,120,331,403
387,WSD01/WSD01_0430.jpg,train,45,8,295,317
388,WSD01/WSD01_0431.jpg,train,65,88,295,317
389,WSD01/WSD01_0432.jpg,train,113,105,288,329
390,WSD01/WSD01_0433.jpg,train,113,167,290,372
391,WSD01/WSD01_0434.jpg,train,90,102,273,336
392,WSD01/WSD01_0435.jpg,train,78,101,300,318
393,WSD01/WSD01_0436.jpg,train,102,174,268,375
394,WSD01/WSD01_0437.jpg,train,70,61,289,343
395,WSD01/WSD01_0438.jpg,train,101,113,327,343
396,WSD01/WSD01_0439.jpg,train,64,118,269,374
397,WSD01/WSD01_0440.jpg,train,54,87,330,413
398,WSD01/WSD01_0441.jpg,train,69,90,321,415
399,WSD01/WSD01_0443.jpg,train,101,94,293,332
400,WSD01/WSD01_0444.jpg,train,73,104,283,375
401,WSD01/WSD01_0445.jpg,train,82,69,344,396
402,WSD01/WSD01_0446.jpg,train,105,181,256,377
403,WSD01/WSD01_0447.jpg,train,109,151,280,353
404,WSD01/WSD01_0448.jpg,train,99,84,303,365
405,WSD01/WSD01_0449.jpg,train,85,25,325,280
406,WSD01/WSD01_0450.jpg,train,115,120,263,301
407,WSD01/WSD01_0451.jpg,train,157,110,333,337
408,WSD01/WSD01_0452.jpg,train,83,141,282,388
409,WSD01/WSD01_0453.jpg,train,85,110,282,356
410,WSD01/WSD01_0455.jpg,train,49,93,331,408
411,WSD01/WSD01_0456.jpg,train,105,73,278,314
412,WSD01/WSD01_0457.jpg,train,63,67,296,310
413,WSD01/WSD01_0458.jpg,train,95,133,244,329
414,WSD01/WSD01_0459.jpg,train,36,140,305,403
415,WSD01/WSD01_0460.jpg,train,36,90,311,417
416,WSD01/WSD01_0461.jpg,train,61,127,298,357
417,WSD01/WSD01_0462.jpg,train,84,122,274,350
418,WSD01/WSD01_0463.jpg,train,64,92,284,319
419,WSD01/WSD01_0464.jpg,train,119,159,305,395
420,WSD01/WSD01_0465.jpg,train,59,115,268,334
421,WSD01/WSD01_0466.jpg,train,84,129,310,353
422,WSD01/WSD01_0467.jpg,train,85,87,280,323
423,WSD01/WSD01_0468.jpg,train,31,94,324,401
424,WSD01/WSD01_0469.jpg,train,55,62,361,437
425,WSD01/WSD01_0470.jpg,train,101,154,286,390
426,WSD01/WSD01_0471.jpg,train,39,56,323,384
427,WSD01/WSD01_0472.jpg,train,58,54,320,376
428,WSD01/WSD01_0473.jpg,train,36,77,317,386
429,WSD01/WSD01_0474.jpg,train,56,114,251,372
430,WSD01/WSD01_0475.jpg,train,106,120,316,375
431,WSD01/WSD01_0476.jpg,train,91,113,307,345
432,WSD01/WSD01_0477.jpg,train,119,159,252,297
433,WSD01/WSD01_0478.jpg,train,59,65,335,383
434,WSD01/WSD01_0479.jpg,train,96,83,272,320
435,WSD01/WSD01_0480.jpg,train,113,92,285,323
436,WSD01/WSD01_0482.jpg,train,120,141,279,340
437,WSD01/WSD01_0483.jpg,train,106,82,279,318
438,WSD01/WSD01_0484.jpg,train,37,96,318,399
439,WSD01/WSD01_0485.jpg,train,80,134,294,345
440,WSD01/WSD01_0487.jpg,train,72,80,338,357
441,WSD01/WSD01_0488.jpg,train,48,80,331,357
442,WSD01/WSD01_0489.jpg,train,42,103,340,400
443,WSD01/WSD01_0490.jpg,train,155,186,280,334
444,WSD01/WSD01_0491.jpg,train,146,154,381,408
445,WSD01/WSD01_0492.jpg,train,114,135,292,345
446,WSD01/WSD01_0493.jpg,train,131,140,285,298
447,WSD01/WSD01_0494.jpg,train,109,65,279,303
448,WSD01/WSD01_0495.jpg,train,88,75,293,345
449,WSD01/WSD01_0496.jpg,train,60,10,297,311
450,WSD01/WSD01_0497.jpg,train,20,57,359,460
451,WSD01/WSD01_0498.jpg,train,122,104,339,390
452,WSD01/WSD01_0499.jpg,train,70,111,316,358
453,WSD01/WSD01_0500.jpg,train,58,53,293,354
454,WSD01/WSD01_0501.jpg,train,80,70,362,361
455,WSD01/WSD01_0502.jpg,train,91,113,307,345
456,WSD01/WSD01_0503.jpg,train,82,101,297,366
457,WSD01/WSD01_0504.jpg,train,120,97,314,309
458,WSD01/WSD01_0505.jpg,train,111,84,289,321
459,WSD01/WSD01_0506.jpg,train,93,134,266,348
460,WSD01/WSD01_0507.jpg,train,136,124,296,324
461,WSD01/WSD01_0508.jpg,train,122,153,286,368
462,WSD01/WSD01_0509.jpg,train,87,139,270,373
463,WSD01/WSD01_0510.jpg,train,126,69,336,326
464,WSD01/WSD01_0511.jpg,train,97,74,331,322
465,WSD01/WSD01_0512.jpg,train,67,142,305,422
466,WSD01/WSD01_0513.jpg,train,93,97,303,374
467,WSD01/WSD01_0514.jpg,train,76,115,286,376
468,WSD01/WSD01_0515.jpg,train,66,127,283,387
469,WSD01/WSD01_0516.jpg,train,65,128,301,364
470,WSD01/WSD01_0517.jpg,train,70,159,286,433
471,WSD01/WSD01_0518.jpg,train,72,75,312,384
472,WSD01/WSD01_0519.jpg,train,93,118,324,412
473,WSD01/WSD01_0520.jpg,train,37,118,324,400
474,WSD01/WSD01_0521.jpg,train,72,100,339,364
475,WSD01/WSD01_0522.jpg,train,117,109,322,311
476,WSD01/WSD01_0523.jpg,train,141,141,283,317
477,WSD01/WSD01_0524.jpg,train,67,63,283,333
478,WSD01/WSD01_0525.jpg,train,80,101,293,354
479,WSD01/WSD01_0526.jpg,train,83,139,266,367
480,WSD01/WSD01_0527.jpg,train,10,89,337,424
